аврор авроры
авторский авторское
альбусы альбус
априорный априорная
атрибуция атрибуции
аудиокнига аудиокнига
байес байеса
безопасность безопасности
битва битвы
больница больницы
быть будет была было были
ваз вазу
вариант варианты
ваш вашем
вдаваться вдаваться
великий великий
вернуть вернут
вернуться вернётся
весь весь
взаимный взаимный
взмах взмахом
видимый видимым
визенгамот визенгамот
виновный виновной
внешность внешность
вознаграждение вознаграждение
возраст возрасте
войти вошла
вопрос вопросы
вселенная вселенные
вы вы
выбор выбор
вынужденный вынужденное
выражение выражение
гарри гарри
гедонистический гедонистическая
генерал генерал
гермиона гермиона гермиону
гипотеза гипотезы гипотеза
глава глава
глаз глаза
говорить говорила
голос голос
граница границы
грейнджер грейнджер
грех грех
гробовой гробовая
давление давление
далёкий дальше
дамблдора дамблдор
дать дали дать
девочка девочку
дело деле
день день
директор директора
добросовестность добросовестность
дожидаться дожидаясь
должный должна должны
дополнительный дополнительные
драко драко
другой другой
думать думать
дурной дурной
есть есть
ещё ещё
её её
жульничество жульничество
забирать забирает
забота забота
загадка загадки
задержать задержали
зазвучать зазвучал
заметно заметно
замечать замечая
замешательство замешательство
заниматься заниматься
занятие занятиям
занять занять
заставить заставила заставили
затем затем
заткнуться заткнись
защита защиты
здоровье здоровье
зелье зелья
идея идея
иерархия иерархии
издание изданию
издержка издержки
изучать изучать
интеллект интеллекта
интерлюдия интерлюдия
информация информация
искать искать
испытание испытание
исходный исходная
квиррелла квиррелл
кевин кевин
класс класс класса
книга книге
комната комнате
конфликт конфликтов
крайне крайне
лицо лица лице
личность личности
личный личными
лобовой лобовое
ложь ложь
любопытство любопытство
мадам мадам
макгонагалл макгонагалл
макдугала макдугал
макиавеллианский макиавеллианского
маловероятный маловероятный
малфа малфой
малфой малфоя
материал материалы
мера меры
метод методы метод
минерв минерва
мирской мирское
мисс мисс
мистер мистер мистера
много много
многомерный многомерной
морага мораг
мочь могу
мы мы
мысль мысли
мышление мышление мышления
название название
назначить назначил
нарушать нарушала
нарушить нарушило
научный научный
начало начала
наш нашего
невозможный невозможное
неделя неделе
неестественный неестественная
необратимый необратимые
необычный необычного
непознаваемый непознаваемое
непознанный непознанное
неправильный неправильные
нерушимый нерушимый
нестандартный нестандартное
ничего ничего
облик облик
обманчивый обманчива
обмен обмен
оборотный оборотного
обратно обратно
одиночество одиночестве
одурачить одурачить
ожидать ожидала
он он его
она она
они них они
оптимизация оптимизация
осведомлённость осведомлённость
ответ ответы
ответить ответила
ответственность ответственность
отдыхать отдыхает
отец отца
открытость открытость
отложить отложенное
отправиться отправиться
отражение отражения
отрицание отрицание
очистить очистила
ошибка ошибка
падм падма
параллельный параллельные
перевод переводе
пересекать пересекая
перестать перестала
печатный печатному
писать писать
планирование планирования
повернуться повернулась
поддержание поддержания
поднять подняла подняв
подчинение подчинения
пожертвовать пожертвовать
познание познание
половина половина
положительный положительная
получить получила
помощь помощью
помфри помфри
попечитель попечителей
попросить попрошу
порождать порождает
последний последнее
послесловие послесловие послесловия
поставить поставленный
поступить поступил
потолок потолку
поттер поттер
поцелуй поцелуй поцелую
почему почему
почти почти
появление появление
правдоподобный правдоподобное
правило правила
превратить превращу
предвзятость предвзятость
предисловие предисловие
предлагать предлагать
предмет предмета
предыдущий предыдущая
прервать прервала
прибавиться прибавилось
привести привели
приговорить приговорил
признать признал
приклеить приклеил
принять принял
приоритет приоритеты
притворный притворная
проблема проблемы
проверка проверка
произойти произошедшее
пройти прошла
профессор профессора профессор
пытаться пыталась пытаться
работа работа
рабыня рабыней
раз раз
развитие развитие
раздаться раздался
различие различия
разрешать разрешать
расстояние расстоянии
рациональный рационального рациональное
реальность реальности
редукционизм редукционизм
решение решения
рука руки
русский русскому
рынок рынка
сам сама самом
самоконтроль самоконтроль
самооправдание самооправдание
свой свои
святой святого
священный священное
сделать сделай
себя себя
северусый северус
сейчас сейчас
секретность секретность
сидеть сидел
сила сил
сказать сказала скажу
сколько сколько
слава славы
следующий следующая
слишком слишком
слух слухи
случай случае
смертельный смертельной
смертный смертный
смотреть смотрел смотрела
снейп снейп
снова снова
сова сову
совет совет
сообщить сообщить
спешить спешите
спокойный спокойный
спросить спросил
сравнивать сравнивая
статус статусах
стать стало стану
стеклянный стеклянную
столкновение столкновение
столько столько
стэнфордский стэнфордский
суровый суровое
теорема теорема
теория теория
терри терри
только только
трансфигурация трансфигурации
требоваться требуется
тюремный тюремный
убеждение убеждениях
убеждённость убеждённость
увидеть увидеть
угол углу угла
угроза угроза
удерживать удерживать
уж уж
уже уже
управление управление
усилие усилием
условный условная
успеть успела
утилитарный утилитарные
ученик учеников
финал финал
финансы финансами
фундаментальный фундаментальная
храбрость храбрость
царить царила
цена цена
часть часть
эгоизм эгоизм
эгоцентричность эгоцентричности
экзамен экзамен
эмпатия эмпатия
энтвистло энтвистл
эскалация эскалация
этот этой этот
эффект эффект
эффективный эффективного
я мне я
явно явно
